customer_code,customer_name,country
01052,(주)세영테크,KR
01053,우진특수산업,KR
01054,다나인터내셔널（DANA INTERNATIONAL）,KR
01055,브루커코리아(주),KR
01056,닛소（NISSO）,KR
01060,(주)에보닉데구사코리아,KR
01061,전진상사,KR
01062,(주) 에이치와이산업,KR
01063,(주)아모스아인스가구,KR
01064,(주) 만희기전,KR
01065,이엔래비스(주),KR
01066,(주)미술넷커뮤니케이션,KR
01067,승화정밀,KR
01068,재)경기중소기업종합지원센타,KR
01069,(주)펜제너레이션스,KR
01070,강원전자,KR
01071,대덕상사,KR
01072,원더파크,KR
01074,국민산업,KR
01075,VAT VAKUUMVENTILE AG,KR
01076,에스유머티리얼스(주),KR
01077,제이에스케이(주),KR
01078,에프엠씨밸브(주),KR
01079,에이펙스코리아(주),KR
01080,리레코코리아(주),KR
01081,김포로커스관세사무소,KR
01082,경기수출포장,KR
01083,(주)상현인더스트리,KR
01084,(주)일신켐텍,KR
01085,(주)코파스,KR
01086,신한노무법인 수원분사무소,KR
01087,(주)케이엠,KR
01088,(주)지구환경,KR
01090,한국표준과학연구원,KR
01091,현대샌딩,KR
01092,경수자동차공업사,KR
01093,칼의명장 가위명장,KR
01099,잔디와조경,KR
01100,한국안전교육,KR
01101,주식회사 티에스아이,KR
01102,(주)코미코,KR
01103,주식회사 한울엔지니어링,KR
01104,(주)케이투,KR
01105,제일테크,KR
01106,권병규,KR
01107,케이에이아이텍(주),KR
01108,(주)효신,KR
01109,아이.엠,KR
01110,서영테크,KR
01111,에스엠에스테크,KR
01112,리더스텍,KR
01113,엠알오마켓,KR
01114,가스프로텍,KR
01115,주식회사 엔제닉,KR
01116,한일에스티㈜,KR
01117,헥사곤,KR
01118,한국기계전기전자시험연구원,KR
01119,두성자동화(주),KR
01120,(주)아이에스엘테크,KR
01121,MAXIMO COMPANY,KR
01122,(주)주연테크,KR
01123,영도교역,KR
01126,(사)한국안전교육강사협회,KR
01127,신한캐피탈(주),KR
01128,마프,KR
01129,농업회사법인유기파크(주),KR
01130,카스맥시스템,KR
01131,(주)이앤엘,KR
01132,INTEL SEMICONDUCTOR,KR
01133,JERCY SMART TECH CORP,KR
01134,주성엔지니어링(주),KR
01135,(주)범석엔지니어링,KR
01136,(주)로그코리아,KR
01137,아이케이씨코리아(주),KR
01138,브이텍스코리아(주),KR
01139,LOG KOREA (로그 코리아),KR
01141,티엠케이 주식회사 평택지점,KR
01142,(주)에이디테크,KR
01143,(주)기전,KR
01145,(주)비티엔지니어링,KR
01154,(재)충남테크노파크디스플레이산업지원센터,KR
01155,한국가스안전공사 충북지역본부,KR
01156,(주)금강펌프기계,KR
01157,한국화학융합시험연구원 김포,KR
01158,(주)아미테크놀러지,KR
01160,암스텍산업（주）,KR
01161,㈜에이디티캡스시화,KR
01162,일성메탈(주),KR
01163,한국미쓰도요 주식회사,KR
01164,유창엔지니어링,KR
01165,주식회사 디티씨,KR
01166,코리아컨테이너라인즈주식회사,KR
01167,삼경종합가스,KR
